wl (nm)	EQE (%)
8.830000e+02	6.398668e+01
8.840000e+02	6.396612e+01
8.850000e+02	6.394556e+01
8.860000e+02	6.394023e+01
8.870000e+02	6.393490e+01
8.880000e+02	6.392958e+01
8.890000e+02	6.392425e+01
8.900000e+02	6.391893e+01
8.910000e+02	6.391613e+01
8.920000e+02	6.391334e+01
8.930000e+02	6.391055e+01
8.940000e+02	6.390776e+01
8.950000e+02	6.390497e+01
8.960000e+02	6.391706e+01
8.970000e+02	6.392915e+01
8.980000e+02	6.394124e+01
8.990000e+02	6.395333e+01
9.000000e+02	6.396542e+01
9.010000e+02	6.388885e+01
9.020000e+02	6.381228e+01
9.030000e+02	6.373571e+01
9.040000e+02	6.365914e+01
9.050000e+02	6.358257e+01
9.060000e+02	6.357753e+01
9.070000e+02	6.357250e+01
9.080000e+02	6.356746e+01
9.090000e+02	6.356243e+01
9.100000e+02	6.355739e+01
9.110000e+02	6.354145e+01
9.120000e+02	6.352551e+01
9.130000e+02	6.350957e+01
9.140000e+02	6.349363e+01
9.150000e+02	6.347768e+01
9.160000e+02	6.347549e+01
9.170000e+02	6.347330e+01
9.180000e+02	6.347110e+01
9.190000e+02	6.346891e+01
9.200000e+02	6.346671e+01
9.210000e+02	6.343567e+01
9.220000e+02	6.340463e+01
9.230000e+02	6.337359e+01
9.240000e+02	6.334255e+01
9.250000e+02	6.331151e+01
9.260000e+02	6.324242e+01
9.270000e+02	6.317332e+01
9.280000e+02	6.310423e+01
9.290000e+02	6.303513e+01
9.300000e+02	6.296604e+01
9.310000e+02	6.293054e+01
9.320000e+02	6.289503e+01
9.330000e+02	6.285953e+01
9.340000e+02	6.282402e+01
9.350000e+02	6.278852e+01
9.360000e+02	6.277744e+01
9.370000e+02	6.276637e+01
9.380000e+02	6.275529e+01
9.390000e+02	6.274421e+01
9.400000e+02	6.273314e+01
9.410000e+02	6.276353e+01
9.420000e+02	6.279392e+01
9.430000e+02	6.282431e+01
9.440000e+02	6.285471e+01
9.450000e+02	6.288510e+01
9.460000e+02	6.280296e+01
9.470000e+02	6.272082e+01
9.480000e+02	6.263868e+01
9.490000e+02	6.255654e+01
9.500000e+02	6.247440e+01
9.510000e+02	6.240842e+01
9.520000e+02	6.234243e+01
9.530000e+02	6.227645e+01
9.540000e+02	6.221046e+01
9.550000e+02	6.214448e+01
9.560000e+02	6.211316e+01
9.570000e+02	6.208184e+01
9.580000e+02	6.205053e+01
9.590000e+02	6.201921e+01
9.600000e+02	6.198789e+01
9.610000e+02	6.193256e+01
9.620000e+02	6.187722e+01
9.630000e+02	6.182188e+01
9.640000e+02	6.176655e+01
9.650000e+02	6.171121e+01
9.660000e+02	6.163869e+01
9.670000e+02	6.156617e+01
9.680000e+02	6.149365e+01
9.690000e+02	6.142114e+01
9.700000e+02	6.134862e+01
9.710000e+02	6.124715e+01
